loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,forty_plus_indicator,credit_age
2400.0,MORTGAGE,82000.0,10.46,0.12119999999999999,0.0,0,Over Forty,11663
13550.0,RENT,41000.0,17.21,0.158,0.0,0,Under Forty,4602
9800.0,RENT,45000.0,19.93,0.1074,0.0,0,Under Forty,9990
10000.0,RENT,60000.0,11.38,0.1531,0.0,0,Under Forty,4420
12250.0,RENT,35276.8,22.89,0.1433,0.0,0,Under Forty,8619
18000.0,MORTGAGE,87100.0,31.85,0.1777,0.0,0,Under Forty,9837
10000.0,MORTGAGE,78000.0,18.55,0.08900000000000001,0.0,0,Under Forty,8680
3000.0,MORTGAGE,70000.0,4.9,0.1311,0.0,1,Under Forty,8954
12000.0,MORTGAGE,83568.0,21.02,0.1465,0.0,1,Under Forty,8042
20000.0,MORTGAGE,128000.0,4.95,0.0762,0.0,0,Over Forty,9472
10000.0,MORTGAGE,70000.0,14.67,0.1433,0.0,0,Under Forty,10780
19000.0,RENT,53000.0,19.77,0.1311,0.0,0,Under Forty,5666
7000.0,RENT,36000.0,18.17,0.1399,0.0,0,Under Forty,5424
9600.0,OWN,62000.0,17.77,0.1399,0.0,0,Over Forty,11541
10000.0,RENT,74724.0,14.69,0.1531,0.0,0,Over Forty,12759
10000.0,RENT,101000.0,9.92,0.09759999999999999,0.0,0,Under Forty,5516
8000.0,RENT,62000.0,11.23,0.12119999999999999,0.0,0,Under Forty,7250
2000.0,RENT,30000.0,27.32,0.12119999999999999,0.0,0,Over Forty,8985
9200.0,MORTGAGE,43000.0,19.53,0.079,0.0,0,Under Forty,4998
20500.0,MORTGAGE,65000.0,9.49,0.08900000000000001,0.0,0,Under Forty,4633
6600.0,MORTGAGE,50700.0,18.63,0.1114,0.0,0,Under Forty,6155
8000.0,MORTGAGE,99000.0,16.36,0.1399,0.0,0,Over Forty,9503
30000.0,RENT,75000.0,9.36,0.1677,0.0,0,Under Forty,5850
16000.0,MORTGAGE,89000.0,16.26,0.079,0.0,0,Over Forty,8985
1000.0,MORTGAGE,79000.0,2.5,0.079,0.0,0,Under Forty,11145
12000.0,MORTGAGE,147000.0,14.12,0.08900000000000001,0.0,0,Over Forty,8803
8800.0,RENT,38000.0,8.46,0.1875,0.0,1,Under Forty,7372
3600.0,MORTGAGE,32000.0,6.56,0.21489999999999998,0.0,0,Over Forty,7920
15000.0,RENT,40000.0,13.73,0.0603,0.0,1,Under Forty,7189
15000.0,MORTGAGE,70000.0,23.98,0.1399,0.0,0,Under Forty,14220
5650.0,OWN,28300.0,3.56,0.1074,0.0,1,Under Forty,7769
6000.0,RENT,25884.0,18.41,0.1367,0.0,1,Under Forty,4542
8500.0,RENT,30000.0,25.32,0.1409,0.0,0,Under Forty,5424
12000.0,RENT,48000.0,25.73,0.1311,0.0,0,Under Forty,6459
8000.0,RENT,30000.0,16.8,0.1777,0.0,0,Over Forty,9684
6000.0,RENT,50000.0,12.55,0.1433,0.0,1,Under Forty,12943
2800.0,RENT,25000.0,10.12,0.1409,0.0,0,Under Forty,8438
4575.0,RENT,28000.0,29.01,0.1727,0.0,1,Under Forty,4694
7500.0,MORTGAGE,45000.0,23.95,0.0762,0.0,0,Over Forty,9319
10750.0,MORTGAGE,45500.0,13.77,0.1311,0.0,0,Under Forty,11390
8000.0,RENT,30000.0,19.28,0.1433,0.0,0,Under Forty,4571
3300.0,RENT,21000.0,25.03,0.1114,0.0,0,Over Forty,9016
35000.0,RENT,120000.0,17.44,0.1777,0.0,0,Under Forty,10141
28000.0,MORTGAGE,88000.0,29.75,0.09759999999999999,0.0,0,Under Forty,8315
15000.0,RENT,60000.0,6.48,0.1465,0.0,0,Over Forty,7127
2000.0,MORTGAGE,70000.0,7.06,0.0662,0.0,0,Over Forty,9077
8000.0,MORTGAGE,85000.0,9.37,0.12119999999999999,0.0,0,Under Forty,6369
6000.0,MORTGAGE,60000.0,6.22,0.1531,0.0,0,Under Forty,7007
19750.0,OWN,44000.0,29.05,0.12119999999999999,0.0,1,Under Forty,10141
12000.0,OWN,62000.0,11.52,0.0662,0.0,0,Over Forty,11938
18000.0,RENT,80000.0,20.83,0.1825,0.0,0,Under Forty,10995
18000.0,MORTGAGE,99000.0,9.85,0.079,0.0,0,Under Forty,13277
6075.0,RENT,54000.0,15.56,0.1311,0.0,0,Under Forty,7433
7000.0,MORTGAGE,83440.0,16.96,0.1114,0.0,0,Over Forty,11086
14400.0,MORTGAGE,40000.0,28.17,0.1433,0.0,0,Over Forty,7433
15875.0,RENT,32000.0,16.24,0.0762,0.0,0,Under Forty,10538
11000.0,MORTGAGE,52000.0,14.95,0.1114,0.0,0,Under Forty,19518
22800.0,MORTGAGE,72300.0,24.13,0.08900000000000001,0.0,0,Under Forty,10780
6400.0,RENT,40000.0,13.29,0.12119999999999999,0.0,0,Under Forty,6277
15000.0,OWN,50000.0,5.11,0.1399,0.0,0,Under Forty,6946
6000.0,OWN,40000.0,17.13,0.15960000000000002,0.0,0,Over Forty,7038
12000.0,MORTGAGE,103000.0,10.86,0.0662,0.0,0,Over Forty,8680
10000.0,RENT,60000.0,28.59,0.08900000000000001,0.0,0,Under Forty,12759
14000.0,MORTGAGE,78000.0,24.02,0.1311,0.0,0,Under Forty,6673
9200.0,RENT,35904.0,6.65,0.1114,0.0,0,Under Forty,4816
15000.0,RENT,68000.0,19.98,0.1114,0.0,0,Under Forty,6734
10000.0,RENT,48000.0,19.47,0.1367,0.0,0,Over Forty,7799
28000.0,MORTGAGE,150000.0,20.33,0.1114,0.0,0,Under Forty,7981
24000.0,MORTGAGE,102000.0,17.43,0.1114,0.0,0,Over Forty,9837
15000.0,RENT,38000.0,29.92,0.1727,0.0,1,Under Forty,6185
10000.0,MORTGAGE,73524.0,14.59,0.1531,0.0,0,Over Forty,11145
2000.0,RENT,45000.0,19.6,0.1531,0.0,0,Under Forty,7493
28000.0,MORTGAGE,110000.0,7.71,0.08900000000000001,0.0,0,Under Forty,6063
4500.0,RENT,16627.2,32.12,0.1905,0.0,0,Over Forty,7342
6075.0,OWN,32000.0,18.56,0.1016,0.0,0,Over Forty,6824
7000.0,RENT,37000.0,19.69,0.079,0.0,0,Under Forty,8925
8875.0,RENT,36400.0,16.75,0.1311,0.0,0,Under Forty,5454
24000.0,RENT,125000.0,8.63,0.1777,0.0,0,Over Forty,12821
4000.0,MORTGAGE,50000.0,20.52,0.08900000000000001,0.0,0,Over Forty,8772
19750.0,RENT,50000.0,3.24,0.0762,0.0,0,Under Forty,4936
7000.0,RENT,55000.0,15.67,0.18489999999999998,0.0,1,Under Forty,6155
15000.0,MORTGAGE,82000.0,15.35,0.08900000000000001,0.0,0,Over Forty,13155
24000.0,RENT,61000.0,16.61,0.1465,0.0,0,Over Forty,10995
16500.0,MORTGAGE,33000.0,10.95,0.11710000000000001,0.0,0,Under Forty,11176
12000.0,MORTGAGE,38000.0,7.52,0.1311,0.0,0,Under Forty,6155
1000.0,MORTGAGE,26524.0,23.34,0.1875,0.0,0,Under Forty,6459
14000.0,MORTGAGE,150000.0,10.3,0.0662,0.0,0,Over Forty,9472
30000.0,MORTGAGE,93000.0,17.83,0.1777,0.0,0,Under Forty,11390
8000.0,MORTGAGE,88000.0,16.96,0.1531,0.0,0,Over Forty,8833
10075.0,OWN,73000.0,20.8,0.1531,0.0,0,Under Forty,9199
20000.0,RENT,100000.0,24.1,0.1409,0.0,0,Over Forty,7708
12000.0,MORTGAGE,50000.0,10.27,0.079,0.0,0,Over Forty,6885
9500.0,MORTGAGE,44000.0,29.43,0.1531,0.0,0,Under Forty,9319
35000.0,MORTGAGE,140000.0,0.0,0.1114,0.0,0,Over Forty,10080
12000.0,RENT,42000.0,30.83,0.1311,0.0,0,Under Forty,8103
14500.0,OWN,45000.0,24.91,0.11710000000000001,0.0,0,Over Forty,11268
12000.0,MORTGAGE,75000.0,25.06,0.1016,0.0,0,Over Forty,7858
6000.0,OWN,56000.0,31.46,0.1531,0.0,0,Under Forty,7403
6500.0,RENT,34000.0,20.44,0.1065,0.0,1,Under Forty,5546
6250.0,OWN,23000.0,34.5,0.1114,0.0,0,Under Forty,7007
18000.0,MORTGAGE,70000.0,14.09,0.1016,0.0,0,Over Forty,7068
10500.0,MORTGAGE,75000.0,3.82,0.12119999999999999,0.0,0,Under Forty,5332
3500.0,MORTGAGE,60000.0,7.62,0.12119999999999999,0.0,0,Under Forty,10842
20000.0,MORTGAGE,95000.0,9.28,0.079,0.0,0,Under Forty,7464
14000.0,RENT,50400.0,21.71,0.158,0.0,0,Under Forty,9960
5000.0,RENT,52000.0,21.05,0.17579999999999998,0.0,0,Over Forty,8438
20000.0,MORTGAGE,49200.0,24.56,0.079,0.0,0,Under Forty,9138
5000.0,RENT,40000.0,28.92,0.1311,0.0,0,Under Forty,8468
10975.0,RENT,60000.0,33.66,0.158,0.0,1,Under Forty,6854
20000.0,MORTGAGE,120000.0,11.79,0.1311,0.0,0,Under Forty,4998
10000.0,MORTGAGE,125000.0,20.88,0.079,0.0,0,Over Forty,11572
1200.0,RENT,13606.0,29.1,0.08900000000000001,0.0,0,Under Forty,4297
21000.0,MORTGAGE,87000.0,8.92,0.079,0.0,0,Under Forty,10780
7375.0,MORTGAGE,180000.0,8.89,0.0762,0.0,0,Over Forty,8588
13200.0,RENT,67000.0,20.58,0.1409,0.0,0,Under Forty,10049
18000.0,MORTGAGE,65000.0,20.34,0.1864,0.0,0,Over Forty,9350
9200.0,MORTGAGE,45000.0,6.85,0.11710000000000001,0.0,0,Under Forty,5638
20000.0,RENT,90000.0,14.61,0.079,0.0,0,Under Forty,8985
10800.0,RENT,86000.0,10.95,0.0762,0.0,0,Over Forty,14098
11100.0,OWN,22880.0,22.66,0.1465,0.0,1,Under Forty,8134
20000.0,MORTGAGE,116000.0,21.48,0.1905,0.0,0,Over Forty,9291
15000.0,RENT,96000.0,12.98,0.1777,0.0,0,Under Forty,9656
16000.0,MORTGAGE,52276.0,32.01,0.12119999999999999,0.0,0,Under Forty,6550
12000.0,MORTGAGE,41000.0,16.15,0.1875,0.0,1,Under Forty,4602
13000.0,RENT,30000.0,26.31,0.1399,0.0,0,Under Forty,7372
3000.0,RENT,41500.0,26.49,0.1531,0.0,0,Under Forty,7219
7000.0,MORTGAGE,123000.0,24.01,0.1016,0.0,0,Under Forty,7493
10000.0,OWN,49417.16,4.18,0.1531,0.0,0,Over Forty,11999
2800.0,RENT,38700.0,21.33,0.1875,0.0,0,Under Forty,7950
35000.0,RENT,110000.0,18.82,0.1875,0.0,1,Over Forty,9684
11200.0,MORTGAGE,45000.0,23.39,0.1677,0.0,1,Under Forty,8833
2000.0,MORTGAGE,68000.0,12.78,0.08900000000000001,0.0,0,Under Forty,7889
15000.0,RENT,55000.0,14.44,0.1875,0.0,1,Over Forty,7007
12000.0,MORTGAGE,52000.0,26.19,0.12119999999999999,0.0,0,Under Forty,5120
7500.0,MORTGAGE,90000.0,6.37,0.11710000000000001,0.0,1,Under Forty,16443
8000.0,RENT,45000.0,9.73,0.1242,0.0,0,Under Forty,9746
3500.0,RENT,18000.0,7.07,0.1972,0.0,0,Under Forty,4146
13000.0,RENT,62000.0,18.12,0.1114,0.0,0,Under Forty,5789
14000.0,RENT,36000.0,17.73,0.1629,0.0,1,Under Forty,6581
35000.0,OWN,180000.0,6.81,0.20989999999999998,0.0,0,Over Forty,6277
35000.0,MORTGAGE,90000.0,16.22,0.1629,0.0,0,Under Forty,11207
16950.0,RENT,44000.0,25.42,0.079,0.0,0,Under Forty,9929
12000.0,MORTGAGE,55000.0,33.75,0.12119999999999999,0.0,0,Under Forty,6824
10500.0,MORTGAGE,36000.0,25.5,0.1433,0.0,0,Under Forty,4694
9450.0,RENT,67000.0,20.18,0.0603,0.0,0,Under Forty,6308
20000.0,MORTGAGE,53000.0,9.44,0.1727,0.0,0,Under Forty,6550
3200.0,RENT,28000.0,5.74,0.18489999999999998,0.0,0,Under Forty,4755
9750.0,OWN,28000.0,26.14,0.1875,0.0,0,Under Forty,4724
14000.0,OWN,40000.0,33.66,0.1433,0.0,0,Under Forty,7830
12000.0,MORTGAGE,60000.0,25.15,0.08900000000000001,0.0,0,Under Forty,8407
8000.0,MORTGAGE,103000.0,21.11,0.17989999999999998,0.0,0,Under Forty,7950
7650.0,RENT,69000.0,16.45,0.1311,0.0,0,Under Forty,8499
9800.0,RENT,36000.0,6.97,0.1531,0.0,0,Under Forty,5607
2000.0,RENT,25000.0,17.33,0.08900000000000001,0.0,1,Under Forty,5028
11000.0,RENT,48000.0,28.03,0.1114,0.0,0,Under Forty,6520
14000.0,MORTGAGE,58000.0,21.68,0.079,0.0,0,Over Forty,13613
28000.0,OWN,100000.0,11.7,0.1409,0.0,0,Over Forty,8741
8400.0,MORTGAGE,72500.0,25.95,0.1777,0.0,0,Under Forty,8560
30000.0,RENT,78000.0,19.78,0.1531,0.0,1,Under Forty,8833
17000.0,RENT,70000.0,11.31,0.1875,0.0,0,Under Forty,7403
13000.0,RENT,80500.0,15.0,0.1972,0.0,0,Under Forty,7158
35000.0,MORTGAGE,86500.0,32.58,0.1114,0.0,0,Under Forty,9837
3675.0,MORTGAGE,38000.0,22.45,0.079,0.0,0,Under Forty,5393
12500.0,OWN,192500.0,11.91,0.08900000000000001,0.0,0,Over Forty,9442
6300.0,RENT,40000.0,18.42,0.1433,0.0,0,Under Forty,5242
5500.0,RENT,45000.0,24.61,0.1409,0.0,0,Under Forty,6185
6000.0,MORTGAGE,150000.0,8.58,0.079,0.0,0,Over Forty,6885
12600.0,RENT,75000.0,7.6,0.1399,0.0,0,Under Forty,11421
9200.0,MORTGAGE,55000.0,20.33,0.12119999999999999,0.0,0,Over Forty,7311
26000.0,RENT,104000.0,18.17,0.079,0.0,0,Under Forty,7677
19300.0,MORTGAGE,41000.0,24.03,0.079,0.0,0,Under Forty,7433
7000.0,RENT,47805.0,17.92,0.079,0.0,0,Under Forty,7099
5000.0,MORTGAGE,43000.0,28.06,0.1016,0.0,0,Under Forty,8560
28000.0,MORTGAGE,100000.0,21.96,0.1409,0.0,1,Over Forty,7950
4000.0,MORTGAGE,54000.0,26.22,0.0603,0.0,0,Under Forty,5301
20000.0,MORTGAGE,85000.0,16.85,0.158,0.0,0,Under Forty,5089
10000.0,RENT,63000.0,5.56,0.1074,0.0,0,Under Forty,5120
7600.0,OWN,28000.0,21.17,0.1531,0.0,1,Over Forty,10933
22000.0,RENT,49000.0,17.51,0.1531,0.0,0,Under Forty,5332
10000.0,MORTGAGE,96000.0,22.35,0.1777,0.0,0,Over Forty,9564
8325.0,OWN,45000.0,6.13,0.1433,0.0,0,Under Forty,5516
11875.0,MORTGAGE,95324.07,27.24,0.1311,0.0,0,Over Forty,9319
11000.0,MORTGAGE,45000.0,16.98,0.1367,0.0,0,Under Forty,6520
25000.0,MORTGAGE,80000.0,17.55,0.09759999999999999,0.0,0,Over Forty,11451
10000.0,RENT,40065.0,22.03,0.12119999999999999,0.0,0,Over Forty,7830
2100.0,MORTGAGE,31000.0,29.38,0.1367,0.0,0,Under Forty,12606
1200.0,RENT,30000.0,14.62,0.12119999999999999,0.0,0,Under Forty,10446
20000.0,RENT,45000.0,21.63,0.1999,0.0,0,Under Forty,7038
5600.0,MORTGAGE,95000.0,9.49,0.0603,0.0,0,Over Forty,7858
35000.0,OWN,112000.0,1.78,0.079,0.0,0,Under Forty,12091
10300.0,RENT,45000.0,7.68,0.1114,2.0,0,Under Forty,5516
12000.0,MORTGAGE,35000.0,15.6,0.09910000000000001,0.0,0,Over Forty,9684
10000.0,RENT,29500.0,20.97,0.1409,0.0,0,Under Forty,7038
21000.0,RENT,102000.0,17.35,0.08900000000000001,0.0,0,Over Forty,13521
12000.0,RENT,40000.0,27.81,0.1114,0.0,0,Under Forty,5607
9600.0,MORTGAGE,65814.0,18.94,0.1016,0.0,0,Under Forty,9291
4400.0,OWN,20000.0,34.98,0.079,0.0,0,Under Forty,5212
10000.0,RENT,72000.0,11.57,0.0603,0.0,0,Under Forty,5363
20000.0,MORTGAGE,80000.0,18.05,0.1409,0.0,0,Under Forty,5363
35000.0,MORTGAGE,76000.0,15.95,0.1855,0.0,0,Under Forty,9564
8875.0,RENT,55000.0,6.17,0.1727,0.0,0,Under Forty,8285
27000.0,MORTGAGE,115000.0,10.28,0.1972,0.0,0,Over Forty,11572
10000.0,RENT,30000.0,10.56,0.1409,0.0,0,Under Forty,5850
12000.0,RENT,109500.0,10.68,0.1875,0.0,0,Under Forty,9684
4800.0,RENT,70000.0,7.39,0.1399,0.0,0,Under Forty,7189
25000.0,MORTGAGE,140000.0,14.33,0.0751,0.0,0,Under Forty,8985
12000.0,MORTGAGE,36000.0,8.4,0.12119999999999999,0.0,0,Under Forty,7280
5000.0,RENT,64000.0,8.78,0.1311,0.0,0,Under Forty,6793
21000.0,MORTGAGE,95000.0,3.34,0.08900000000000001,0.0,0,Under Forty,4755
2850.0,RENT,18000.0,16.6,0.1465,0.0,1,Under Forty,4786
11700.0,MORTGAGE,107000.0,11.28,0.1367,0.0,0,Over Forty,12333
35000.0,MORTGAGE,113000.0,10.34,0.205,0.0,0,Over Forty,9077
9000.0,MORTGAGE,46000.0,16.12,0.0603,0.0,0,Over Forty,9929
10000.0,MORTGAGE,34000.0,22.8,0.1777,0.0,0,Over Forty,8376
8000.0,OWN,26000.0,22.75,0.12119999999999999,0.0,0,Over Forty,7068
15300.0,RENT,50100.0,23.11,0.21,0.0,1,Under Forty,7189
3600.0,MORTGAGE,93000.0,21.02,0.12119999999999999,0.0,1,Under Forty,14738
13000.0,MORTGAGE,65000.0,18.92,0.1311,0.0,0,Over Forty,7038
10000.0,RENT,31000.0,28.59,0.1074,0.0,0,Under Forty,7799
8000.0,OWN,67000.0,29.77,0.079,0.0,1,Under Forty,11633
12000.0,RENT,58000.0,15.31,0.1242,0.0,1,Under Forty,8499
8000.0,OWN,33000.0,8.91,0.1531,0.0,1,Under Forty,8954
14675.0,RENT,60000.0,17.86,0.1727,0.0,0,Under Forty,7372
5000.0,RENT,21600.0,31.5,0.1114,0.0,0,Under Forty,11541
8575.0,MORTGAGE,83000.0,24.94,0.1409,0.0,0,Under Forty,5028
15250.0,RENT,150000.0,13.42,0.1777,0.0,0,Under Forty,4116
20000.0,RENT,60000.0,14.0,0.12689999999999999,0.0,0,Under Forty,6915
7125.0,RENT,55000.0,4.17,0.1114,0.0,1,Under Forty,6428
8325.0,RENT,28800.0,8.33,0.1875,0.0,0,Under Forty,4328
12000.0,MORTGAGE,75000.0,7.04,0.0603,0.0,0,Under Forty,8588
8000.0,RENT,30000.0,10.52,0.158,0.0,0,Under Forty,6885
16000.0,MORTGAGE,60000.0,17.7,0.1311,0.0,0,Under Forty,7708
15000.0,MORTGAGE,42000.0,10.26,0.15810000000000002,0.0,0,Over Forty,7981
2250.0,MORTGAGE,103000.0,15.9,0.1114,0.0,0,Over Forty,10842
24000.0,RENT,73000.0,23.72,0.1311,0.0,0,Over Forty,7127
12000.0,MORTGAGE,75000.0,25.65,0.0662,0.0,0,Under Forty,7738
10000.0,MORTGAGE,107500.0,12.26,0.0762,0.0,0,Under Forty,10752
20000.0,OWN,82000.0,33.45,0.21489999999999998,0.0,0,Under Forty,11056
10800.0,RENT,75000.0,15.74,0.0662,0.0,0,Under Forty,7981
35000.0,RENT,135000.0,16.03,0.12119999999999999,0.0,0,Under Forty,4816
10000.0,MORTGAGE,92000.0,14.23,0.0603,0.0,0,Under Forty,9319
28000.0,MORTGAGE,104000.0,11.68,0.0762,0.0,0,Under Forty,11482
15000.0,MORTGAGE,33000.0,15.14,0.1465,0.0,0,Under Forty,11237
12000.0,MORTGAGE,190000.0,11.38,0.1433,0.0,0,Over Forty,12547
10000.0,MORTGAGE,90000.0,8.99,0.0603,0.0,0,Under Forty,7493
3500.0,RENT,78475.0,8.06,0.1311,0.0,0,Under Forty,10325
6000.0,MORTGAGE,70000.0,9.65,0.1527,0.0,0,Under Forty,7950
7200.0,RENT,35000.0,12.0,0.158,0.0,0,Under Forty,10780
13200.0,MORTGAGE,135000.0,14.27,0.1825,0.0,1,Under Forty,8407
25000.0,MORTGAGE,75000.0,10.93,0.1311,0.0,0,Over Forty,8741
18000.0,RENT,200000.0,12.97,0.079,0.0,0,Under Forty,9046
24000.0,MORTGAGE,200000.0,4.78,0.079,0.0,0,Under Forty,7250
12000.0,RENT,52000.0,19.22,0.0662,0.0,0,Under Forty,12668
3300.0,RENT,20000.0,11.46,0.08900000000000001,0.0,0,Under Forty,7250
15000.0,MORTGAGE,60000.0,6.2,0.0603,0.0,0,Over Forty,10386
3125.0,MORTGAGE,21000.0,5.31,0.0603,0.0,0,Over Forty,13978
24000.0,RENT,100000.0,9.8,0.1016,0.0,0,Under Forty,7585
4000.0,MORTGAGE,45000.0,6.59,0.1016,0.0,0,Under Forty,6581
10000.0,RENT,60000.0,8.22,0.12119999999999999,0.0,1,Over Forty,8042
20000.0,MORTGAGE,67000.0,15.17,0.09759999999999999,0.0,0,Under Forty,6673
1200.0,RENT,20000.0,4.84,0.12119999999999999,0.0,0,Under Forty,7616
8000.0,MORTGAGE,32000.0,27.04,0.158,0.0,0,Under Forty,4450
5500.0,RENT,115000.0,2.4,0.1114,0.0,0,Under Forty,10811
6000.0,RENT,37000.0,26.34,0.12119999999999999,0.0,0,Under Forty,6155
14000.0,RENT,120000.0,12.91,0.08900000000000001,0.0,0,Under Forty,8468
15000.0,MORTGAGE,158000.0,11.38,0.1311,0.0,0,Over Forty,12759
24925.0,RENT,80000.0,12.78,0.1016,0.0,0,Under Forty,5089
23000.0,RENT,94000.0,19.85,0.0762,0.0,0,Over Forty,15985
5125.0,RENT,52000.0,14.36,0.1311,0.0,1,Under Forty,5454
18825.0,RENT,43000.0,20.43,0.079,0.0,0,Under Forty,6308
12000.0,MORTGAGE,82000.0,11.14,0.1465,0.0,0,Over Forty,9442
6000.0,RENT,31000.0,31.35,0.1433,0.0,0,Under Forty,4755
10000.0,RENT,120000.0,0.87,0.1242,0.0,0,Under Forty,4694
6000.0,RENT,48216.0,20.83,0.08900000000000001,0.0,0,Over Forty,9625
35000.0,MORTGAGE,166000.0,1.81,0.08900000000000001,0.0,0,Under Forty,11268
10000.0,RENT,86000.0,15.0,0.1905,0.0,0,Under Forty,7127
6625.0,RENT,35000.0,33.43,0.1777,0.0,1,Under Forty,6063
6000.0,OWN,52000.0,31.41,0.12119999999999999,0.0,0,Under Forty,11876
18000.0,MORTGAGE,130000.0,19.54,0.079,0.0,0,Over Forty,9837
8000.0,RENT,25000.0,19.49,0.18489999999999998,0.0,0,Under Forty,4663
10175.0,OWN,25000.0,25.98,0.1465,0.0,0,Over Forty,12152
23850.0,RENT,60000.0,25.2,0.0662,0.0,1,Under Forty,7616
11500.0,OWN,23000.0,29.9,0.0762,0.0,0,Under Forty,6946
6325.0,RENT,32000.0,23.9,0.18489999999999998,0.0,1,Under Forty,6338
17000.0,RENT,165000.0,15.75,0.1777,0.0,0,Under Forty,8254
6350.0,RENT,42500.0,19.85,0.18489999999999998,0.0,1,Over Forty,7493
9000.0,RENT,117000.0,17.25,0.1409,0.0,0,Under Forty,8407
9950.0,RENT,30000.0,13.38,0.1629,0.0,0,Under Forty,9169
12000.0,MORTGAGE,60000.0,11.82,0.08900000000000001,0.0,0,Under Forty,9411
35000.0,MORTGAGE,180000.0,20.92,0.1311,1.0,0,Under Forty,9350
22000.0,MORTGAGE,93000.0,18.28,0.0662,0.0,0,Under Forty,7981
12250.0,MORTGAGE,44000.0,34.79,0.1311,0.0,1,Under Forty,5758
5000.0,RENT,45000.0,15.93,0.1777,0.0,0,Under Forty,5089
